Title,Enlight Child LED (worktitle)
Revision,0.0.1
Date,
Generated,Do 21 Dez 2017 11:23:52 CET
Company,
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,83
Total Unique Parts,23



Ref,Qty,Value,Footprint,
BT201 ,1,Battery,Battery_Holders:Keystone_2479_3xAAA
C202 C209 C201 C325 C324 C323 C322 C321 C320 C319 C318 C317 C316 C315 C314 C313 C312 C311 C310 C309 C308 C307 C306 C305 C304 C303 C302 C301 ,28,100n,Capacitors_SMD:C_0603
C203 ,1,1u,Capacitors_SMD:C_0603
C210 ,1,4.7u,Capacitors_SMD:C_0603
C205 C206 C204 C211 ,4,10n,Capacitors_SMD:C_0603
C208 C207 ,2,10u,Capacitors_SMD:C_0603
J201 ,1,CONN_01X05,Connectors:Wafer_Vertical15x5.8x7RM2.5-5
J202 ,1,USB_OTG,Connectors:USB_Mini-B
J301 ,1,CONN_01X03_FEMALE,Connectors:PINHEAD1-3
LED325 LED324 LED323 LED322 LED321 LED320 LED319 LED318 LED317 LED316 LED315 LED314 LED313 LED312 LED311 LED310 LED309 LED308 LED307 LED306 LED305 LED304 LED303 LED302 LED301 ,25,WS2812B,LEDs:LED_WS2812B-PLCC4
16M201 ,1,Crystal_GND3,Crystals:Resonator_SMD_muRata_SFSKA-3pin_7.9x3.8mm
POT201 POT202 POT203 ,3,>500k,Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal
Q201 ,1,Q_NPN_BCE,TO_SOT_Packages_SMD:SOT-23
R204 R201 ,2,10k,Resistors_SMD:R_0603
R202 ,1,1M,Resistors_SMD:R_0603
R203 ,1,1.5M,Resistors_SMD:R_0603
R205 ,1,5.6k,Resistors_SMD:R_0603
R301 ,1,4.7M,Resistors_SMD:R_0603
SW201 ,1,SW_DPDT_x2,Buttons_Switches_SMD:SW_SPDT_PCM12
SW202 SW203 SW204 ,3,SW_Push,Buttons_Switches_THT:SW_PUSH_6mm
TH201 ,1,above 500mA,Resistors_SMD:R_0402
U202 ,1,STM32F031F4Px,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm
U201 ,1,AP131-33,TO_SOT_Packages_SMD:SOT-23-5




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated Do 21 Dez 2017 11:23:52 CET
